"","year","grade","cumulative_gpa","term","gpa"
"3234","2020",7,"0.9285","2",1
"3235","2020",8,"3.7855","1",3.857
"3236","2020",8,"3.7855","2",3.714
"3237","2020",6,"3.2145","1",3.143
"3238","2020",6,"3.2145","2",3.286
"3239","2020",7,"0.714","1",0.571
"3240","2020",7,"0.714","2",0.857
"3241","2020",6,"2.5","1",2.571
"3242","2020",6,"2.5","2",2.429
"3243","2020",7,"2.0715","1",2.143
"3244","2020",7,"2.0715","2",2
"3245","2020",7,"3.5715","1",3.714
"3246","2020",7,"3.5715","2",3.429
"3247","2020",7,"3.857","1",3.857
"3248","2020",7,"3.857","2",3.857
"3249","2020",6,"0.6785","1",0.5
"3250","2020",6,"0.6785","2",0.857
"3251","2020",6,"1.857","1",2
"3252","2020",6,"1.857","2",1.714
"3253","2020",8,"3.619","1",3.667
"3254","2020",8,"3.619","2",3.571
"3255","2020",7,"1.631","1",1.833
"3256","2020",7,"1.631","2",1.429
"3257","2020",6,"3.3575","1",3.429
"3258","2020",6,"3.3575","2",3.286
"3259","2020",8,"3.286","1",3.429
"3260","2020",8,"3.286","2",3.143
"3261","2020",8,"2.571","1",2.571
"3262","2020",8,"2.571","2",2.571
"3263","2020",8,"0.857","1",0.571
"3264","2020",8,"0.857","2",1.143
"3265","2020",7,"4","1",4
"3266","2020",7,"4","2",4
"3267","2020",6,"2.5715","1",2.857
"3268","2020",6,"2.5715","2",2.286
"3269","2020",6,"2.1425","1",1.714
"3270","2020",6,"2.1425","2",2.571
"3271","2020",8,"1.9285","1",1.714
"3272","2020",8,"1.9285","2",2.143
"3273","2020",8,"0.5","1",0.571
"3274","2020",8,"0.5","2",0.429
"3275","2020",8,"1.8215","1",2.143
"3276","2020",8,"1.8215","2",1.5
"3277","2020",7,"0.714","1",0.857
"3278","2020",7,"0.714","2",0.571
"3279","2020",8,"2.7855","1",3
"3280","2020",8,"2.7855","2",2.571
"3281","2020",7,"2.7735","1",2.833
"3282","2020",7,"2.7735","2",2.714
"3283","2020",7,"1.2735","1",0.833
"3284","2020",7,"1.2735","2",1.714
"3285","2020",8,"1.5","1",1.714
"3286","2020",8,"1.5","2",1.286
"3287","2020",6,"3.857","1",3.857
"3288","2020",6,"3.857","2",3.857
"3289","2020",6,"4","1",4
"3290","2020",6,"4","2",4
"3291","2020",6,"3.7855","1",3.714
"3292","2020",6,"3.7855","2",3.857
"3293","2020",6,"2.2855","1",2.571
"3294","2020",6,"2.2855","2",2
"3295","2020",6,"3.0715","1",3
"3296","2020",6,"3.0715","2",3.143
"3297","2020",6,"1.786","1",2.143
"3298","2020",6,"1.786","2",1.429
"3299","2020",7,"1.5715","1",1.857
"3300","2020",7,"1.5715","2",1.286
"3301","2020",8,"0.857","1",0.857
"3302","2020",8,"0.857","2",0.857
"3303","2020",7,"1.238","1",1.333
"3304","2020",7,"1.238","2",1.143
"3305","2020",7,"3.7855","1",3.857
"3306","2020",7,"3.7855","2",3.714
"3307","2020",8,"0.7855","1",0.571
"3308","2020",8,"0.7855","2",1
"3309","2020",8,"0.857","1",1
"3310","2020",8,"0.857","2",0.714
"3311","2020",6,"3.3575","1",3.286
"3312","2020",6,"3.3575","2",3.429
"3313","2020",6,"3.5","1",3.286
"3314","2020",6,"3.5","2",3.714
"3315","2020",7,"3.6425","1",3.571
"3316","2020",7,"3.6425","2",3.714
"3317","2020",7,"2.7855","1",3
"3318","2020",7,"2.7855","2",2.571
"3319","2020",6,"3.7855","1",3.857
"3320","2020",6,"3.7855","2",3.714
"3321","2020",8,"0.643","1",0.429
"3322","2020",8,"0.643","2",0.857
"3323","2020",7,"4","1",4
"3324","2020",7,"4","2",4
"3325","2020",7,"1.4285","1",1.571
"3326","2020",7,"1.4285","2",1.286
"3327","2020",8,"0.571","1",0.571
"3328","2020",8,"0.571","2",0.571
"3329","2020",7,"2","1",2.143
"3330","2020",7,"2","2",1.857
"3331","2020",7,"3.5","1",3.571
"3332","2020",7,"3.5","2",3.429
"3333","2020",6,"1.488","1",1.143
"3334","2020",6,"1.488","2",1.833
"3335","2020",6,"2.6425","1",2.714
"3336","2020",6,"2.6425","2",2.571
"3337","2020",6,"1.2855","1",0.857
"3338","2020",6,"1.2855","2",1.714
"3339","2020",8,"0.5715","1",0.429
"3340","2020",8,"0.5715","2",0.714
"3341","2020",8,"0.1665","1",0.333
"3342","2020",8,"0.1665","2",0
"3343","2020",8,"3.071","1",3.571
"3344","2020",8,"3.071","2",2.571
"3345","2020",7,"3.6425","1",3.714
"3346","2020",7,"3.6425","2",3.571
"3347","2020",6,"2","1",2.286
"3348","2020",6,"2","2",1.714
"3349","2020",7,"3.357","1",3.143
"3350","2020",7,"3.357","2",3.571
"3351","2020",7,"4","1",4
"3352","2020",7,"4","2",4
"3353","2020",6,"0.9285","1",0.714
"3354","2020",6,"0.9285","2",1.143
"3355","2020",6,"1.893","1",1.5
"3356","2020",6,"1.893","2",2.286
"3357","2020",7,"1.7855","1",1.571
"3358","2020",7,"1.7855","2",2
"3359","2020",8,"1.4285","1",1.286
